Project executed on 11-04-2025 at 09:31:23.
main.cpp(13): Application start
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
EnemyManager.cpp(158): Player died from enemy collision
